Gender,"תגידי, הכל בסדר איתך?",3=ʔitˈaχ
Gender,"אני נותן לך את הספר, תקרא אותו.",2=leχˈa
Gender,"אני נותן לך את הספר, תקראי אותו.",2=lˈaχ
Gender,"הבית שלך מאוד יפה, אתה קנית אותו מזמן?",1=ʃelχˈa
Gender,ראיתי אותך הולך ברחוב.,1=ʔotχˈa
Gender,"שלחתי אליך מכתב, את קיבלת אותו?",1=ʔelˈajiχ 4=kibˈalt
Gender,"תודה לך, אתה עוזר לי מאוד.",1=leχˈa
Gender,"אני מחכה לך, תזדרזי.",2=lˈaχ
Gender,"המפתח נשאר אצלך, אתה בטוח?",2=ʔetsleχˈa
Gender,"המפתח נשאר אצלך, את בטוחה?",2=ʔetslˈeχ
Gender,"אני חוזר אליך, חכה לי דקה.",2=ʔelˈeχa
Gender,מה שמעתי ממך? אתה עוזב?,2=mimχˈa
Gender,מה שמעתי ממך? את עוזבת?,2=mimˈeχ
Gender,"הכיסא הזה בשבילך, שב בבקשה.",2=biʃvilχˈa
Gender,מי עומד מולך? אתה מכיר אותו?,2=mulχˈa
Gender,מי עומדת מולך? את מכירה אותה?,2=mulˈeχ
Gender,"הכל קרה בגללך, אתה תמיד מאחר.",2=biɡlalχˈa
Gender,"הכל קרה בגללך, את תמיד מאחרת.",2=biɡlalˈeχ
Gender,"אני לא הולך בלעדיך, אתה בא איתי?",3=bilʔadˈeχa
Gender,"אני לא הולכת בלעדיך, את באה איתי?",3=bilʔadˈajχ
Gender,"אני רץ אחריך, חכה רגע!",2=ʔaχaʁˈeχa
Gender,"אני רצה אחריך, חכי רגע!",2=ʔaχaʁˈajχ
Gender,"אני רוצה להיות איתך, אתה חבר טוב.",3=ʔitχˈa
Gender,"אני רוצה להיות איתך, את חברה טובה.",3=ʔitˈaχ
Gender,איך המרגש אצלך? אתה נראה מרוצה.,2=ʔetsleχˈa
Acronyms,"הדו""ח שלך מוכן, אתה יכול להגיש אותו.",0=hadˈoχ
Acronyms,"אני שולח אליך את המנכ""ל, תדבר איתו.",4=hamankˈal
Acronyms,"דיברתי עם הסמנכ""ל והוא אישר את התקציב.",2=hasamankˈal
Acronyms,"הוא שירת ביחידה מיוחדת בצה""ל לפני כמה שנים.",4=betsˈahal
Acronyms,צריך להיכנס לממ״ד,2=lamamˈad
Acronyms,הוא מתעסק בנדל״ן,2=benadlˈan
Acronyms,הוא מע״ר במד״א,1=meʔˈaʁ 2=bemˈada
Acronyms,הוא שירת באמ״ן,2=beʔamˈan
Acronyms,הוא שירת בשב״כ,2=baʃabˈak
Acronyms,הפצ״רית החליטה שזה נכון,0=hapatsaʁˈit
Acronyms,יש בית חב״ד בכל העולם,2=χabˈad
Acronyms,תמסור לה ד״ש חם,2=dˈaʃ
Acronyms,תביא קצת גבנ״צ לפיצה,2=ɡˈavnats
Acronyms,הוא קיבל צל״ש בצבא,2=tsalˈaʃ
Acronyms,האחמ״ש הזה ממש טוב,0=haʔaχmˈaʃ
Acronyms,היועמ״ש הוא כמו שופט,0=hajoʔamˈaʃ
Acronyms,הוא יחצ״ן מסיבות,1=jaχtsˈan
Acronyms,הוא ח״כ כבר הרבה שנים בכנסת,1=χˈak
Acronyms,איזה בלת״ק,1=baltˈak
Acronyms,איזה כיסתו״ח,1=kistˈuaχ
Acronyms,הרמטכ״ל נתן הנחיה חדשה,0=haʁamatkˈal
Acronyms,הוא המפכ״ל של המשטרה,1=hamafkˈal
Acronyms,שוטרי ימ״ר מרכז,1=jamˈaʁ
Acronyms,בג״ץ דחה את ההצעה,0=baɡˈats
Acronyms,זה קרה בשנת תש״ח,3=taʃˈaχ
Secondary Stress,אתה מגיע עם האופנוע?,3=haʔofanˈoa
Secondary Stress,יש לך אופניים?,2=ʔofanˈajim
Secondary Stress,היא עומדת לפטר אלפי עובדים,1=ʔomˈedet
Secondary Stress,שמעת על הדיווח שהיה בחדשות?,0=ʃamˈaʔata 2=hadivˈuaχ
Secondary Stress,זה פתוח אתה יכול להיכנס,1=patˈuaχ
Secondary Stress,הוא בא היום בערב,3=baʔˈeʁev
Secondary Stress,ירושלים היא עיר הבירה,0=jeʁuʃalˈajim
Secondary Stress,השגנו השגים עצומים,0=hisˈaɡnu
Secondary Stress,פוליטיקה זו לא מילה גסה,0=polˈitika
Secondary Stress,הוא לומד באקדמיה,2=baʔakadˈemja
Secondary Stress,אכלתי אבוקדו,1=ʔabokˈado
Secondary Stress,היא ניצחה באולימפיאדה,2=baʔolimpijˈada
Secondary Stress,הוא הגיע עם אמבולנס,3=ʔˈambulans
Secondary Stress,איזה פנטזיה זה,1=fantˈazja
Secondary Stress,היום יש שיעור כימיה,3=χˈimija
Secondary Stress,זו הייתה אימפריה גדולה,2=ʔimpˈeʁja
Secondary Stress,זה אלגוריתם ממש חכם,1=ʔalɡoʁˈitem
Secondary Stress,הוא למד אסטרונומיה וחלל,2=ʔastʁonˈomja
Secondary Stress,זו אלטרנטיבה ממש טובה,1=ʔalteʁnatˈiva
Secondary Stress,זה מצב אופטימלי,2=ʔoptimˈali
Secondary Stress,זה היה אינטנסיבי,2=ʔintensˈivi
Secondary Stress,האקוסטיקה ממש טובה,0=haʔakˈustika
Secondary Stress,מתמטיקה זה תחום רחב,0=matmˈatika
Secondary Stress,זה מרכז טכנולוגי,2=teχnolˈoɡi
Secondary Stress,אינטרקציה ממש טובה,0=ʔinteʁˈaktsja
Rare Phonemes,וואלה נראה לך שזה יצליח?,0=wˈala 4=
Rare Phonemes,איפה הג'ינס שלך?,1=hadʒˈins
Rare Phonemes,"הג'וב הזה תפור עליך, אתה תותח.",0=hadʒˈob
Rare Phonemes,"הג'יפ הזה מחכה לך, סע בזהירות.",0=hadʒˈip
Rare Phonemes,"הז'קט הזה קטן עליך, תמדוד אחר.",0=haʒakˈet
Rare Phonemes,"הצבע בז' ממש מתאים לך, אתה נראה טוב.",1=bˈeʒ
Rare Phonemes,"זה לא הז'אנר שלך, אתה לא תאהב.",2=haʒˈaneʁ
Rare Phonemes,"הבאתי צ'יפס בשבילך, תאכל מהר.",1=tʃˈips
Rare Phonemes,"הצ'ק הזה שלך, קח אותו.",0=hatʃˈek
Rare Phonemes,"אני אכתוב לך בצ'אט, חכי לי.",3=batʃˈet
Rare Phonemes,"יש לך ג'ל על החולצה, תנקה את זה.",2=dʒˈel
Rare Phonemes,"הפיז'מה הזאת בול עליך, אתה נראה מצחיק.",0=hapiʒˈama
Rare Phonemes,"שלחתי אליך וואטסאפ, תענה לי כבר.",2=wˈatsʔap
Rare Phonemes,"תמיד ידעתי שאתה ווינר, הכל קטן עליך.",3=wˈineʁ
Rare Phonemes,"סידרתי צ'ופר בשבילך, תבדוק במייל.",1=tʃupˈaʁ
Rare Phonemes,"האוטו שלך מחכה בגאראז', תניע אותו.",3=baɡaʁˈaʒ
Rare Phonemes,"מזגתי וויסקי בשבילך, תשתה לאט.",1=wˈiski
Rare Phonemes,"תעשה את זה צ'יק צ'אק, אני סומך עליך.",3=tʃ'ik 4=tʃ'ak
Rare Phonemes,"אני נותן לך צ'אנס אחרון, אל תאכזבי.",3=tʃˈans
Rare Phonemes,"וואו, הבית שלך מדהים, אתה עיצבת אותו?",0=wˈaʔu
Rare Phonemes,"וואי יצאת ג'ינג'י, הכל נשאר אצלך.",2=dʒˈindʒi
Rare Phonemes,"יש לך ג'יפה על הנעל, תשטוף אותה.",2=dʒˈifa
Rare Phonemes,"סיפרתי צ'יזבט בשבילך, אתה פוחד?",1=tʃizbˈat
Rare Phonemes,"יש לך ג'וק על הגב, אל תזוז!",2=dʒˈuk
Rare Phonemes,זה ציור של ג'ירפה.,3=dʒiʁˈafa
Foreign,איזה וויב טוב יש פה,1=vˈajb
Foreign,טלגרם זה אפליקציה ממש טובה,0=tˈeleɡʁam
Foreign,יש לך גם פייסבוק?,3=fˈejsbuk
Foreign,תעשה עוד סטורי באינסטגרם,2=stˈoʁi 3=baʔˈinsteɡʁam
Foreign,הפרויקט שלך כבר מוכן?,0=hapʁojˈekt
Foreign,תעשה ריסטארט למחשב,1=ʁistˈaʁt
Foreign,גיקטיים פרסמו על גאדג'ט חדש מגניב,0=ɡˈiktajim 3=ɡˈadʒet
Foreign,זו אסטרטגיה מעניינת,1=ʔastʁatˈeɡja
Foreign,הסטייל שלך מזכיר לי דוגמנית,0=hastˈajl
Foreign,זה לא אידיאלי,2=ʔidiʔˈali
Foreign,תדליק את הטלויזיה,2=hatelvˈizja
Foreign,יש לך טלפון או שיש לך סמארטפון?,2=tˈelefon 6=smˈaʁtfon
Foreign,איזה חמסין היום,1=χamsˈin
Foreign,זה בורקס עם גבינה,1=buʁˈekas
Foreign,שלח לי את זה במייל נדבר אחרי הדיילי,4=bamˈejl 7=hadˈejli
Foreign,היום יהיה שיעור על גאוגרפיה,4=ɡeʔoɡʁˈafja
Foreign,יש לו אינטואיציה ממש טובה,2=ʔintuʔˈitsja
Foreign,זה מאוד אינדיבידואלי,2=ʔindividuʔˈali
Foreign,יש פה הרבה אינפורמציה,3=ʔinfoʁmˈatsja
Foreign,אל תשכח ליצור טיקט חדש בג'ירה,3=tˈiket 5=badʒˈiʁa
Foreign,ת'כלס זה ממש נכון,0=tˈaχles
Foreign,השבוע היינו בצימר בצפון,2=betsˈimeʁ
Foreign,אל תהיה פראייר אחי,2=fʁˈajeʁ
Foreign,קניתי את זה בקיוסק,3=bakjˈosk
Foreign,זה עשוי מנירוסטה,2=miniʁˈosta
Names,איזה סבטוחה עשית פה,1=sabatˈuχa
Names,"דני, איפה התיק שלך?",0=dˈani
Names,"נועה, איפה התיק שלך?",0=nˈoʔa
Names,"הכנתי מקום ישיבה בשבילך, איילה.",4=ʔajalˈa
Names,"לא ציפיתי להתנהגות כזו ממך, דנה.",5=dˈana
Names,איתי אמרתי לך שתבוא מוקדם.,0=ʔitˈaj
Names,יוסי איפה התיק שלך?,0=jˈosi
Names,טלי האוטו שלך חונה בחוץ.,0=tˈali
Names,מאיה הכל בסדר איתך?,0=mˈaja
Names,רוני אני זורמת איתך לכל מקום.,0=ʁˈoni
Names,אבי ראיתי אותך אתמול בעיר.,0=ʔˈavi
Names,גיא מה קורה אצלך בעבודה?,0=ɡˈaj
Names,רועי המטען נשאר אצלך בבית.,0=ʁoʔˈi
Names,תמר המטען נשאר אצלך בבית.,0=tamˈaʁ
Names,נהוראי הטלפון שלך מצלצל כבר שעה.,0=nehoʁˈaj
Names,הודיה הטלפון שלך מצלצל כבר שעה.,0=hodajˈa
Names,איתמר איפה האופנוע שלך חונה?,0=ʔˈitamaʁ
Names,אביגיל הכל זורם איתך?,0=ʔaviɡˈajil
Names,נויה יש לך אולי מטען בשבילי?,0=nˈoja
Names,הלל מגיע לך ליהנות קצת.,0=halˈel
Names,אבישג אני אראה אותך מחר?,0=ʔaviʃˈaɡ
Names,ליאל לא שמעתי ממך מילה כל היום.,0=ljiʔˈel
Names,תהילה הכל בסדר אצלך?,0=tehilˈa
Names,נופר המעיל שלך נשאר אצלי באוטו.,0=nofˈaʁ
Names,ליאן אני אדבר איתך כבר מחר בבוקר.,0=liʔˈan
Homographed stress,איזה נחת הוא סוף סוף נחת,1=nˈaχat 5=naχˈat
Homographed stress,הוא רצה את זה גם אבל היא רצה מהר והקדימה אותו,1=ʁatsˈa 7=ʁˈatsa
Homographed stress,בוא תרד לאכול יש בורקס עם תרד,1=teʁˈed 6=tˈeʁed
Homographed stress,אל תשכח לאכול אורז מבושל אחרי שאתה אורז את המזוודה,3=ʔˈoʁez 7=ʔoʁˈez
Homographed stress,בוא נשתה בירה בעיר הבירה ירושלים,2=bˈiʁa 4=biʁˈa
Homographed stress,אתה רוצה לשלם כופר? אל תהיה כזה אדם כופר!,3=kˈofeʁ 8=kofˈeʁ
Homographed stress,הוא קרע על הברך וברך אותי,3=habˈeʁeχ 4=vebeʁˈeχ
Homographed stress,הוא עשה לה צמה למרות שהיא לא אכלה וצמה כל היום,3=tsamˈa 8=vetsˈama
Homographed stress,הבוקר בשדה עובד קשה וקם מוקדם מאוד בבוקר,0=habokˈeʁ 7=babˈokeʁ
Homographed stress,"הם בנו בית גדול, וזה נגע בנו מאוד",1=banˈu 6=banˈu
Homographed stress,קיבלתי תוספת של גרושים בתלוש. זה לא עוזר לזוגות גרושים.,3=ɡʁˈuʃim 9=ɡʁuʃˈim
Homographed stress,לא משתלם לעבוד שעות נוספות בשביל כמה גרושים,7=ɡʁˈuʃim
Homographed stress,הם ניהלו שיחה פתוחה על הקשר המיני שלהם,6=haminˈi
Homographed stress,הם סירבו להושיב בכנסת אדם שכופר בעקרונות המדינה.,5=ʃekofˈeʁ
Homographed stress,לא תמיד יש זמן להכין אוכל ביתי.,5=ʔˈoχel
Homographed stress,הוא אוכל את הכל,1=ʔoχˈel
Homographed stress,הוא טעם את האוכל ואמר שאין לזה טעם בכלל.,3=taʔˈam 7=tˈaʔam
Homographed stress,איך יוצרים קרקע אורגנית עשירה?,3=ʔoʁɡˈanit
Homographed stress,הגינה נבנתה בשיטה אורגנית שמשמרת את המערכת האקולוגית,3=ʔoʁɡˈanit
Homographed stress,הילד קיבל אורגנית ליום הולדת והתחיל ללמוד לנגן,2=ʔoʁɡanˈit
Homographed stress,אף אחד לא האמין שבנו את כל זה רק בחודש אחד.,4=ʃebanˈu
Homographed stress,החיה הזו חיה הרבה שנים בטבע,0=haχajˈa 2=χˈaja
Homographed stress,הוא צעד אל עבר האופק ובכל צעד התקדם.,1=tsaʔˈad 6=tsˈaʔad
Homographed stress,איזה כופר אתה!,1=kofˈeʁ
Homographed stress,הם הציגו מיני פרויקט במסגרת תערוכה מקומית.,2=mˈini
Slang,וואלה מה אתה אומר אח שלי,0=wˈala
Slang,סגור חביבי נדבר מחר,1=χabˈibi
Slang,איזה פאדיחה קרתה לי,1=fadˈiχa
Slang,הוא ממש יצא פארש,3=fˈaʁʃ
Slang,עזוב זה סתם חארטה,3=χˈaʁta
Slang,איזה סקאם לא מאמין שקניתי את זה,1=skˈam
Slang,שיחקת אותה יא תותח!,2=jˈa
Slang,איזה שיחוק כל הכבוד,1=siχˈuk
Slang,"וואי, אני שבוז רצח היום.",0=wˈaj 2=ʃavˈuz
Slang,איזה נאחס אחי,1=nˈaχs
Slang,וואי הוא יצא כזה פיתה,0=wˈaj 4=pˈita
Slang,הוא דפק ברז ברגע האחרון.,2=bˈeʁez
Slang,הוא תפר את העסקה הזאת בשנייה.,1=tafˈaʁ
Slang,"חבל על הזמן, זה פשוט ליגה.",5=lˈiɡa
Slang,"בוא נדבר דוגרי, זה לא יעבוד.",2=dˈuɡʁi
Slang,הוא סתם עושה פוזות.,3=pˈozot
Slang,איזה קאדר עשו לנו שם.,1=kˈadeʁ
Slang,"עזוב, הוא סתם מחפש צומי.",4=tsˈumi
Slang,יש פה ריח של קומבינה,4=kombˈina
Slang,"וואי, הוא יצא פלופ רציני.",0=wˈaj 3=falˈup
Slang,"וואלה, זה עלה לי גרושים.",0=wˈala 4=ɡʁˈuʃim
Slang,"אל תדאג, אני אקמבן אותך.",3=ʔakambˈen
Slang,תקעתי לאפה ואני לא יכול לזוז.,1=lˈafa
Slang,בא לי לנשנש משהו בקטנה.,2=lenaʃnˈeʃ
Slang,הוא אכל פליפ רציני.,2=flˈip